Kejadian,KELURAHAN,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
0,1,balekambang,0,0.0,0,0.0,0,0.0,0,160,250,450
1,1,balekambang,0,0.0,0,0.0,0,83.0,0,90,140,330
2,1,balekambang,0,0.0,0,2.0,0,2.0,0,75,90,330
3,1,balekambang,1,66.0,1,74.0,0,85.0,3,170,300,580
4,1,balekambang,1,41.0,1,87.0,0,154.0,2,160,175,620
5,1,balekambang,0,0.0,0,9.0,0,137.0,0,90,80,330
6,1,balekambang,0,0.0,0,0.0,0,20.0,0,80,60,330
7,1,balekambang,1,8.5,1,38.5,0,61.0,1,135,139,420
8,1,balekambang,0,0.0,1,83.0,0,96.0,0,90,75,400
9,1,balekambang,1,9.5,1,24.5,1,93.5,1,105,90,330
10,1,bambu apus,1,8.5,1,38.5,0,61.0,1,135,139,420
11,1,batu ampar,1,66.0,1,74.0,0,85.0,3,170,300,580
12,1,batu ampar,0,0.0,0,35.0,0,35.0,0,110,90,330
13,1,batu ampar,1,8.5,1,38.5,0,61.0,1,135,139,420
14,1,batu ampar,1,2.5,1,128.0,0,209.0,1,125,130,690
15,1,batu ampar,1,31.0,0,72.0,0,157.0,2,125,150,750
16,1,bidara cina,0,0.0,0,0.0,0,0.0,0,160,250,450
17,1,bidara cina,0,0.0,0,2.0,0,2.0,0,75,90,330
18,1,bidara cina,1,45.0,0,81.0,0,81.0,2,155,250,500
19,1,bidara cina,0,0.0,0,0.0,0,22.0,0,85,100,330
20,1,bidara cina,1,41.0,1,87.0,0,154.0,2,160,175,620
21,1,bidara cina,1,5.0,0,6.5,0,10.5,1,105,110,420
22,1,bidara cina,0,0.0,0,9.0,0,137.0,0,90,80,330
23,1,bidara cina,1,21.0,0,15.0,0,15.0,2,100,80,330
24,1,bidara cina,0,0.0,0,0.0,0,20.0,0,80,60,330
25,1,bidara cina,1,2.5,1,128.0,0,209.0,1,125,130,690
26,1,bidara cina,1,31.0,0,72.0,0,157.0,2,125,150,750
27,1,bidara cina,0,0.0,1,83.0,0,96.0,0,90,75,400
28,1,bidara cina,1,2.0,0,11.0,0,91.0,1,120,80,330
29,1,bidara cina,1,9.5,1,24.5,1,93.5,1,105,90,330
30,1,cakung timur,1,2.5,1,128.0,0,209.0,1,125,130,690
31,1,cakung timur,1,31.0,0,72.0,0,157.0,2,125,150,750
32,1,cawang,0,0.0,0,0.0,0,0.0,0,160,250,450
33,1,cawang,0,0.0,0,0.0,0,83.0,0,90,140,330
34,1,cawang,0,0.0,0,2.0,0,2.0,0,75,90,330
35,1,cawang,1,19.3,1,14.8,1,147.0,1,110,120,331
36,1,cawang,0,0.0,0,79.0,0,232.0,0,120,205,340
37,1,cawang,1,66.0,1,74.0,0,85.0,3,170,300,580
38,1,cawang,1,41.0,1,87.0,0,154.0,2,160,175,620
39,1,cawang,1,5.0,0,6.5,0,10.5,1,105,110,420
40,1,cawang,0,0.0,0,9.0,0,137.0,0,90,80,330
41,1,cawang,0,0.0,0,0.0,0,20.0,0,80,60,330
42,1,cawang,1,2.5,1,128.0,0,209.0,1,125,130,690
43,1,cawang,1,31.0,0,72.0,0,157.0,2,125,150,750
44,1,cawang,0,0.0,1,83.0,0,96.0,0,90,75,400
45,1,cawang,1,2.0,0,11.0,0,91.0,1,120,80,330
46,1,cawang,1,9.5,1,24.5,1,93.5,1,105,90,330
47,1,cililitan,0,0.0,0,0.0,0,83.0,0,90,140,330
48,1,cililitan,0,0.0,0,0.0,0,0.0,0,80,90,330
49,1,cililitan,0,0.0,0,2.0,0,2.0,0,75,90,330
50,1,cililitan,1,45.0,0,81.0,0,81.0,2,155,250,500
51,1,cililitan,0,0.0,0,79.0,0,232.0,0,120,205,340
52,1,cililitan,1,66.0,1,74.0,0,85.0,3,170,300,580
53,1,cililitan,1,66.0,1,74.0,0,85.0,3,170,300,580
54,1,cililitan,1,41.0,1,87.0,0,154.0,2,160,175,620
55,1,cililitan,1,5.0,0,6.5,0,10.5,1,105,110,420
56,1,cililitan,0,0.0,0,9.0,0,137.0,0,90,80,330
57,1,cililitan,0,0.0,0,0.0,0,20.0,0,80,60,330
58,1,cililitan,1,2.5,1,128.0,0,209.0,1,125,130,690
59,1,cililitan,1,31.0,0,72.0,0,157.0,2,125,150,750
60,1,cililitan,0,0.0,1,83.0,0,96.0,0,90,75,400
61,1,cililitan,1,9.5,1,24.5,1,93.5,1,105,90,330
62,1,cipayung,0,0.0,0,5.0,0,25.0,0,90,105,330
63,1,cipayung,1,66.0,1,74.0,0,85.0,3,170,300,580
64,1,cipayung,1,50.0,1,26.0,0,53.0,0,165,230,660
65,1,cipayung,1,2.0,0,11.0,0,91.0,1,120,80,330
66,1,cipinang,1,9.5,1,24.5,1,93.5,1,105,90,330
67,1,cipinang cempedak,0,0.0,0,0.0,0,22.0,0,85,100,330
68,1,cipinang cempedak,1,2.5,1,128.0,0,209.0,1,125,130,690
69,1,cipinang cempedak,1,31.0,0,72.0,0,157.0,2,125,150,750
70,1,cipinang melayu,1,6.0,0,8.0,0,37.0,1,75,90,330
71,1,cipinang melayu,1,49.9,1,126.0,0,126.0,3,135,190,331
72,1,cipinang melayu,1,66.0,1,74.0,0,85.0,3,170,300,580
73,1,cipinang melayu,1,50.0,1,26.0,0,53.0,0,165,230,660
74,1,cipinang melayu,1,41.0,1,87.0,0,154.0,2,160,175,620
75,1,cipinang melayu,1,8.5,1,38.5,0,61.0,1,135,139,420
76,1,cipinang melayu,1,2.5,1,128.0,0,209.0,1,125,130,690
77,1,cipinang melayu,1,31.0,0,72.0,0,157.0,2,125,150,750
78,1,cipinang melayu,1,2.0,0,11.0,0,91.0,1,120,80,330
79,1,cipinang melayu,1,9.5,1,24.5,1,93.5,1,105,90,330
80,1,cipinang melayu,1,39.8,1,26.3,1,101.8,2,115,200,735
81,1,cipinang muara,1,6.0,0,8.0,0,37.0,1,75,90,330
82,1,cipinang muara,1,49.9,1,126.0,0,126.0,3,135,190,331
83,1,cipinang muara,0,0.0,0,0.0,0,22.0,0,85,100,330
84,1,cipinang muara,1,66.0,1,74.0,0,85.0,3,170,300,580
85,1,cipinang muara,1,41.0,1,87.0,0,154.0,2,160,175,620
86,1,ciracas,0,0.0,0,5.0,0,25.0,0,90,105,330
87,1,ciracas,1,66.0,1,74.0,0,85.0,3,170,300,580
88,1,ciracas,1,8.5,1,38.5,0,61.0,1,135,139,420
89,1,dukuh,0,0.0,0,0.0,0,83.0,0,90,140,330
90,1,dukuh,1,66.0,1,74.0,0,85.0,3,170,300,580
91,1,dukuh,1,39.8,1,26.3,1,101.8,2,115,200,735
92,1,duren sawit,1,66.0,1,74.0,0,85.0,3,170,300,580
93,1,duren sawit,1,66.0,1,74.0,0,85.0,3,170,300,580
94,1,duren sawit,1,50.0,1,26.0,0,53.0,0,165,230,660
95,1,duren sawit,1,2.0,0,0.0,0,136.5,1,100,100,330
96,1,duren sawit,1,2.5,1,128.0,0,209.0,1,125,130,690
97,1,duren sawit,1,31.0,0,72.0,0,157.0,2,125,150,750
98,1,duren sawit,1,2.0,0,11.0,0,91.0,1,120,80,330
99,1,gedong,1,66.0,1,74.0,0,85.0,3,170,300,580
100,1,gedong,1,5.0,0,6.5,0,10.5,1,105,110,420
101,1,gedong,1,39.8,1,26.3,1,101.8,2,115,200,735
102,1,halim perdana kusuma,1,39.8,1,26.3,1,101.8,2,115,200,735
103,1,jati,1,9.5,1,24.5,1,93.5,1,105,90,330
104,1,jatinegara,0,0.0,0,5.0,0,25.0,0,90,105,330
105,1,jatinegara,1,66.0,1,74.0,0,85.0,3,170,300,580
106,1,jatinegara,1,50.0,1,26.0,0,53.0,0,165,230,660
107,1,jatinegara,1,50.0,1,26.0,0,53.0,0,165,230,660
108,1,jatinegara,1,47.0,1,103.0,0,182.0,2,175,260,500
109,1,jatinegara,1,41.0,1,87.0,0,154.0,2,160,175,620
110,1,jatinegara,1,2.5,1,128.0,0,209.0,1,125,130,690
111,1,jatinegara,1,31.0,0,72.0,0,157.0,2,125,150,750
112,1,jatinegara,1,2.0,0,11.0,0,91.0,1,120,80,330
113,1,jatinegara,1,9.5,1,24.5,1,93.5,1,105,90,330
114,1,kampung melayu,0,0.0,0,0.0,0,0.0,0,160,250,450
115,1,kampung melayu,0,0.0,0,2.0,0,2.0,0,75,90,330
116,1,kampung melayu,1,45.0,0,81.0,0,81.0,2,155,250,500
117,1,kampung melayu,1,19.3,1,14.8,1,147.0,1,110,120,331
118,1,kampung melayu,1,49.9,1,126.0,0,126.0,3,135,190,331
119,1,kampung melayu,0,0.0,0,79.0,0,232.0,0,120,205,340
120,1,kampung melayu,0,0.0,0,0.0,0,22.0,0,85,100,330
121,1,kampung melayu,1,66.0,1,74.0,0,85.0,3,170,300,580
122,1,kampung melayu,1,41.0,1,87.0,0,154.0,2,160,175,620
123,1,kampung melayu,1,5.0,0,6.5,0,10.5,1,105,110,420
124,1,kampung melayu,1,2.0,0,0.0,0,136.5,1,100,100,330
125,1,kampung melayu,0,0.0,0,9.0,0,137.0,0,90,80,330
126,1,kampung melayu,0,0.0,0,0.0,0,20.0,0,80,60,330
127,1,kampung melayu,1,19.0,1,9.5,0,12.0,1,100,80,420
128,1,kampung melayu,1,2.5,1,128.0,0,209.0,1,125,130,690
129,1,kampung melayu,1,31.0,0,72.0,0,157.0,2,125,150,750
130,1,kampung melayu,0,0.0,1,83.0,0,96.0,0,90,75,400
131,1,kampung melayu,0,0.0,1,83.0,0,96.0,0,90,75,400
132,1,kampung melayu,1,2.0,0,11.0,0,91.0,1,120,80,330
133,1,kampung melayu,1,9.5,1,24.5,1,93.5,1,105,90,330
134,1,kampung melayu,1,9.5,1,24.5,1,93.5,1,105,90,330
135,1,kampung melayu,1,39.8,1,26.3,1,101.8,2,115,200,735
136,1,kampung tengah,0,0.0,0,0.0,0,83.0,0,90,140,330
137,1,kampung tengah,1,66.0,1,74.0,0,85.0,3,170,300,580
138,1,kampung tengah,0,0.0,0,35.0,0,35.0,0,110,90,330
139,1,kampung tengah,1,39.8,1,26.3,1,101.8,2,115,200,735
140,1,kayu manis,1,66.0,1,74.0,0,85.0,3,170,300,580
141,1,kayu manis,1,50.0,1,26.0,0,53.0,0,165,230,660
142,1,kayu manis,1,47.0,1,103.0,0,182.0,2,175,260,500
143,1,kayu putih,1,2.5,1,128.0,0,209.0,1,125,130,690
144,1,kayu putih,1,31.0,0,72.0,0,157.0,2,125,150,750
145,1,kayu putih,1,9.5,1,24.5,1,93.5,1,105,90,330
146,1,kebon manggis,1,66.0,1,74.0,0,85.0,3,170,300,580
147,1,kebon manggis,1,41.0,1,87.0,0,154.0,2,160,175,620
148,1,kebon manggis,0,0.0,0,0.0,0,20.0,0,80,60,330
149,1,kebon manggis,1,9.5,1,24.5,1,93.5,1,105,90,330
150,1,kebon pala,1,66.0,1,74.0,0,85.0,3,170,300,580
151,1,kebon pala,1,14.0,0,14.0,0,67.0,1,100,60,380
152,1,kebon pala,1,2.5,1,128.0,0,209.0,1,125,130,690
153,1,kebon pala,1,31.0,0,72.0,0,157.0,2,125,150,750
154,1,kebon pala,0,0.0,1,83.0,0,96.0,0,90,75,400
155,1,kebon pala,1,2.0,0,11.0,0,91.0,1,120,80,330
156,1,kebon pala,1,9.5,1,24.5,1,93.5,1,105,90,330
157,1,klender,1,2.5,1,128.0,0,209.0,1,125,130,690
158,1,klender,1,31.0,0,72.0,0,157.0,2,125,150,750
159,1,klender,1,2.0,0,11.0,0,91.0,1,120,80,330
160,1,kramatjati,1,66.0,1,74.0,0,85.0,3,170,300,580
161,1,kramatjati,1,50.0,1,26.0,0,53.0,0,165,230,660
162,1,kramatjati,1,47.0,1,103.0,0,182.0,2,175,260,500
163,1,kramatjati,1,41.0,1,87.0,0,154.0,2,160,175,620
164,1,lubang buaya,1,49.9,1,126.0,0,126.0,3,135,190,331
165,1,lubang buaya,1,66.0,1,74.0,0,85.0,3,170,300,580
166,1,lubang buaya,1,8.5,1,38.5,0,61.0,1,135,139,420
167,1,lubang buaya,1,2.0,0,11.0,0,91.0,1,120,80,330
168,1,makasar,1,66.0,1,74.0,0,85.0,3,170,300,580
169,1,makasar,1,8.5,1,38.5,0,61.0,1,135,139,420
170,1,makasar,1,2.5,1,128.0,0,209.0,1,125,130,690
171,1,makasar,1,31.0,0,72.0,0,157.0,2,125,150,750
172,1,makasar,1,39.8,1,26.3,1,101.8,2,115,200,735
173,1,malaka sari,1,66.0,1,74.0,0,85.0,3,170,300,580
174,1,malaka sari,0,0.0,0,46.0,0,57.0,0,90,85,330
175,1,pekayon,1,2.0,0,11.0,0,91.0,1,120,80,330
176,1,penggilingan,1,2.5,1,128.0,0,209.0,1,125,130,690
177,1,penggilingan,1,31.0,0,72.0,0,157.0,2,125,150,750
178,1,penggilingan,1,2.0,0,11.0,0,91.0,1,120,80,330
179,1,penggilingan,1,9.5,1,24.5,1,93.5,1,105,90,330
180,1,pinangranti,1,8.5,1,38.5,0,61.0,1,135,139,420
181,1,pinangranti,1,2.5,1,128.0,0,209.0,1,125,130,690
182,1,pinangranti,1,31.0,0,72.0,0,157.0,2,125,150,750
183,1,pinangranti,1,39.8,1,26.3,1,101.8,2,115,200,735
184,1,pisangan baru,1,66.0,1,74.0,0,85.0,3,170,300,580
185,1,pisangan baru,1,2.5,1,128.0,0,209.0,1,125,130,690
186,1,pisangan baru,1,31.0,0,72.0,0,157.0,2,125,150,750
187,1,pisangan timur,1,2.5,1,128.0,0,209.0,1,125,130,690
188,1,pisangan timur,1,31.0,0,72.0,0,157.0,2,125,150,750
189,1,pondok bambu,1,66.0,1,74.0,0,85.0,3,170,300,580
190,1,pondok bambu,1,2.0,0,0.0,0,136.5,1,100,100,330
191,1,pondok bambu,1,2.5,1,128.0,0,209.0,1,125,130,690
192,1,pondok bambu,1,31.0,0,72.0,0,157.0,2,125,150,750
193,1,pondok kelapa,1,66.0,1,74.0,0,85.0,3,170,300,580
194,1,pondok kelapa,0,0.0,0,46.0,0,57.0,0,90,85,330
195,1,pondok kelapa,1,2.0,0,11.0,0,91.0,1,120,80,330
196,1,pondok kelapa,1,9.5,1,24.5,1,93.5,1,105,90,330
197,1,pondok kelapa,1,39.8,1,26.3,1,101.8,2,115,200,735
198,1,pulo gadung,1,2.5,1,128.0,0,209.0,1,125,130,690
199,1,pulo gadung,1,31.0,0,72.0,0,157.0,2,125,150,750
200,1,pulo gadung,1,2.0,0,11.0,0,91.0,1,120,80,330
201,1,pulo gadung,1,2.0,0,11.0,0,91.0,1,120,80,330
202,1,pulo gadung,1,9.5,1,24.5,1,93.5,1,105,90,330
203,1,pulo gadung,1,39.8,1,26.3,1,101.8,2,115,200,735
204,1,rambutan,0,0.0,0,0.0,0,83.0,0,90,140,330
205,1,rambutan,1,49.9,1,126.0,0,126.0,3,135,190,331
206,1,rambutan,1,6.5,0,4.0,0,4.0,1,75,215,360
207,1,rambutan,0,0.0,0,35.0,0,35.0,0,110,90,330
208,1,rambutan,1,8.5,1,38.5,0,61.0,1,135,139,420
209,1,rambutan,1,2.0,0,11.0,0,91.0,1,120,80,330
210,1,rawa bunga,0,0.0,0,0.0,0,22.0,0,85,100,330
211,1,rawa bunga,1,2.5,1,128.0,0,209.0,1,125,130,690
212,1,rawa bunga,1,31.0,0,72.0,0,157.0,2,125,150,750
213,1,rawa bunga,1,9.5,1,24.5,1,93.5,1,105,90,330
214,1,rawa terate,1,2.5,1,128.0,0,209.0,1,125,130,690
215,1,rawa terate,1,31.0,0,72.0,0,157.0,2,125,150,750
216,1,rawa terate,1,9.5,1,24.5,1,93.5,1,105,90,330
217,1,rawamangun,1,2.5,1,128.0,0,209.0,1,125,130,690
218,1,rawamangun,1,31.0,0,72.0,0,157.0,2,125,150,750
219,1,susukan,1,2.0,0,0.0,0,136.5,1,100,100,330
220,1,susukan,0,0.0,0,9.0,0,137.0,0,90,80,330
221,1,susukan,1,39.8,1,26.3,1,101.8,2,115,200,735
222,1,utan kayu selatan,1,66.0,1,74.0,0,85.0,3,170,300,580
223,1,utan kayu utara,1,2.5,1,128.0,0,209.0,1,125,130,690
224,1,utan kayu utara,1,31.0,0,72.0,0,157.0,2,125,150,750
225,0,balekambang,0,0.0,0,77.0,0,160.0,0,80,100,330
226,0,balekambang,0,0.0,0,17.0,0,79.0,0,80,100,330
227,0,balekambang,0,0.0,0,0.0,0,0.0,0,90,100,330
228,0,balekambang,0,0.0,0,0.0,0,10.0,0,75,80,330
229,0,balekambang,0,0.0,0,0.0,0,0.0,0,110,115,330
230,0,balekambang,0,0.0,0,0.0,0,0.0,0,80,90,330
231,0,balekambang,0,0.0,0,7.0,0,19.0,0,85,80,330
232,0,balekambang,0,0.0,0,34.0,0,34.0,0,75,80,330
233,0,balekambang,0,0.0,0,4.0,0,6.0,0,95,110,330
234,0,balekambang,0,0.0,0,0.0,0,6.0,0,80,80,330
235,0,balekambang,0,0.0,0,4.0,0,4.0,0,90,80,330
236,0,balekambang,0,0.0,0,1.0,0,14.0,0,80,80,330
237,0,balekambang,0,0.0,0,8.0,0,53.0,0,100,125,330
238,0,balekambang,0,0.0,0,39.0,0,94.0,0,100,100,330
239,0,balekambang,0,0.0,0,25.0,0,30.0,0,110,100,440
240,0,balekambang,0,0.0,0,15.0,0,67.0,0,90,90,330
241,0,balekambang,0,0.0,0,25.0,0,37.0,0,90,105,330
242,0,balekambang,0,0.0,0,44.0,0,159.0,0,105,105,330
243,0,balekambang,0,0.0,0,17.0,0,25.0,0,155,160,450
244,0,balekambang,0,0.0,0,0.0,0,22.0,0,90,100,330
245,0,balekambang,0,0.0,0,0.0,0,33.0,0,95,80,330
246,0,balekambang,0,0.0,0,0.0,0,2.5,0,80,70,330
247,0,balekambang,0,0.0,0,0.0,0,0.0,0,75,50,330
248,0,balekambang,1,14.0,0,12.0,0,13.0,1,110,70,370
249,0,balekambang,0,0.0,0,0.0,0,23.5,0,75,50,400
250,0,balekambang,0,0.0,0,33.5,0,80.0,0,90,100,330
251,0,balekambang,0,0.0,0,0.0,0,0.0,0,80,55,330
252,0,balekambang,1,4.0,0,0.0,0,68.5,1,90,90,330
253,0,balekambang,1,1.0,0,0.0,0,0.0,1,85,50,330
254,0,balekambang,0,0.0,0,0.0,0,0.0,0,90,60,330
255,0,bambu apus,0,0.0,0,0.0,0,33.0,0,95,80,330
256,0,bambu apus,0,0.0,0,0.0,0,2.5,0,80,70,330
257,0,bambu apus,0,0.0,0,0.0,0,0.0,0,75,50,330
258,0,bambu apus,1,14.0,0,12.0,0,13.0,1,110,70,370
259,0,bambu apus,0,0.0,0,0.0,0,23.5,0,75,50,400
260,0,bambu apus,0,0.0,0,33.5,0,80.0,0,90,100,330
261,0,bambu apus,0,0.0,0,0.0,0,0.0,0,80,55,330
262,0,bambu apus,1,4.0,0,0.0,0,68.5,1,90,90,330
263,0,bambu apus,1,1.0,0,0.0,0,0.0,1,85,50,330
264,0,bambu apus,0,0.0,0,0.0,0,0.0,0,90,60,330
265,0,batu ampar,0,0.0,0,4.0,0,4.0,0,90,80,330
266,0,batu ampar,0,0.0,0,1.0,0,14.0,0,80,80,330
267,0,batu ampar,0,0.0,0,8.0,0,53.0,0,100,125,330
268,0,batu ampar,0,0.0,0,39.0,0,94.0,0,100,100,330
269,0,batu ampar,0,0.0,0,25.0,0,30.0,0,110,100,440
270,0,batu ampar,0,0.0,0,15.0,0,67.0,0,90,90,330
271,0,batu ampar,0,0.0,0,25.0,0,37.0,0,90,105,330
272,0,batu ampar,0,0.0,0,44.0,0,159.0,0,105,105,330
273,0,batu ampar,0,0.0,0,17.0,0,25.0,0,155,160,450
274,0,batu ampar,0,0.0,0,0.0,0,22.0,0,90,100,330
275,0,batu ampar,0,0.0,0,0.0,0,33.0,0,95,80,330
276,0,batu ampar,0,0.0,0,0.0,0,2.5,0,80,70,330
277,0,batu ampar,0,0.0,0,0.0,0,0.0,0,75,50,330
278,0,batu ampar,1,14.0,0,12.0,0,13.0,1,110,70,370
279,0,batu ampar,0,0.0,0,0.0,0,23.5,0,75,50,400
280,0,batu ampar,0,0.0,0,33.5,0,80.0,0,90,100,330
281,0,batu ampar,0,0.0,0,0.0,0,0.0,0,80,55,330
282,0,batu ampar,1,4.0,0,0.0,0,68.5,1,90,90,330
283,0,batu ampar,1,1.0,0,0.0,0,0.0,1,85,50,330
284,0,batu ampar,0,0.0,0,0.0,0,0.0,0,90,60,330
285,0,bidara cina,0,0.0,0,77.0,0,160.0,0,80,100,330
286,0,bidara cina,0,0.0,0,17.0,0,79.0,0,80,100,330
287,0,bidara cina,0,0.0,0,0.0,0,0.0,0,90,100,330
288,0,bidara cina,0,0.0,0,0.0,0,10.0,0,75,80,330
289,0,bidara cina,0,0.0,0,0.0,0,0.0,0,110,115,330
290,0,bidara cina,0,0.0,0,0.0,0,0.0,0,80,90,330
291,0,bidara cina,0,0.0,0,7.0,0,19.0,0,85,80,330
292,0,bidara cina,0,0.0,0,34.0,0,34.0,0,75,80,330
293,0,bidara cina,0,0.0,0,4.0,0,6.0,0,95,110,330
294,0,bidara cina,0,0.0,0,0.0,0,6.0,0,80,80,330
295,0,bidara cina,0,0.0,0,4.0,0,4.0,0,90,80,330
296,0,bidara cina,0,0.0,0,1.0,0,14.0,0,80,80,330
297,0,bidara cina,0,0.0,0,8.0,0,53.0,0,100,125,330
298,0,bidara cina,0,0.0,0,39.0,0,94.0,0,100,100,330
299,0,bidara cina,0,0.0,0,25.0,0,30.0,0,110,100,440
300,0,bidara cina,0,0.0,0,15.0,0,67.0,0,90,90,330
301,0,bidara cina,0,0.0,0,25.0,0,37.0,0,90,105,330
302,0,bidara cina,0,0.0,0,44.0,0,159.0,0,105,105,330
303,0,bidara cina,0,0.0,0,17.0,0,25.0,0,155,160,450
304,0,bidara cina,0,0.0,0,0.0,0,22.0,0,90,100,330
305,0,bidara cina,0,0.0,0,0.0,0,33.0,0,95,80,330
306,0,bidara cina,0,0.0,0,0.0,0,2.5,0,80,70,330
307,0,bidara cina,0,0.0,0,0.0,0,0.0,0,75,50,330
308,0,bidara cina,1,14.0,0,12.0,0,13.0,1,110,70,370
309,0,bidara cina,0,0.0,0,0.0,0,23.5,0,75,50,400
310,0,bidara cina,0,0.0,0,33.5,0,80.0,0,90,100,330
311,0,bidara cina,0,0.0,0,0.0,0,0.0,0,80,55,330
312,0,bidara cina,1,4.0,0,0.0,0,68.5,1,90,90,330
313,0,bidara cina,1,1.0,0,0.0,0,0.0,1,85,50,330
314,0,bidara cina,0,0.0,0,0.0,0,0.0,0,90,60,330
315,0,cakung timur,0,0.0,0,0.0,0,33.0,0,95,80,330
316,0,cakung timur,0,0.0,0,0.0,0,2.5,0,80,70,330
317,0,cakung timur,0,0.0,0,0.0,0,0.0,0,75,50,330
318,0,cakung timur,1,14.0,0,12.0,0,13.0,1,110,70,370
319,0,cakung timur,0,0.0,0,0.0,0,23.5,0,75,50,400
320,0,cakung timur,0,0.0,0,33.5,0,80.0,0,90,100,330
321,0,cakung timur,0,0.0,0,0.0,0,0.0,0,80,55,330
